Station Number,City,Station Name,Latitude,Longitude,Coordinates,Google Place Name,Notes
JO281,الجوف,القريات - النسيم,31.310316,37.346631,"31.310316, 37.346631",,
JO298,الجوف,القريات - الصناعية,31.34385,37.3664135,"31.34385, 37.3664135",8782 Al Madinah Al Munawarah Rd,
EP315,الشرقية,وهل طريق الخليج,25.3424293,49.6175671,"25.3424293, 49.6175671",7054 ابن رشيد,
MD297,المدينة المنورة,المدينة عين الخيف,24.452977,39.693932,"24.452977, 39.693932",,
MK304,جدة,حي الرياض,21.855405,39.210434,"21.855405, 39.210434",,
EP316,الشرقية,محطة القصيم,28.463903,45.98374,"28.463903, 45.98374",,
RY204,الرياض,محطة النسيم,24.7549496,46.8312532,"24.7549496, 46.8312532",8060 ابي الاسود الدؤلي النسيم الشرقي الرياض,
MD294,المدينة المنورة,نقطة ايفاء العلا,26.540125,37.966918,"26.540125, 37.966918",,
RY199,الخرج,نبض - الرفايع,24.321695,47.158729,"24.321695, 47.158729",,
AS128,عسير ,الفرعاء,18.0666237,42.7145882,"18.0666237, 42.7145882",رايات المثلث للوقود,
AS129,عسير ,محطة الجنوب,18.829893,43.233825,"18.829893, 43.233825",,
MK322,جدة,محطة الياقوت,21.781861,39.07002,"21.781861, 39.07002",,
EP325,الشرقية,رمكو البطحاء,24.135421,49.222719,"24.135421, 49.222719",,
QS330,القصيم,محطة القويع,26.33106,43.949766,"26.33106, 43.949766",,
QS331,القصيم,محطة البصر,26.301671,43.850588,"26.301671, 43.850588",,
QS332,القصيم,محطة البدائع,25.97675,43.754599,"25.97675, 43.754599",,
AS180,عسير ,محطة المركاض,18.6082742,42.6811212,"18.6082742, 42.6811212",JM5J+8F8 - وادي ابن هشبل,
AS226,ابها,المصيف,18.2616684,42.4996719,"18.2616684, 42.4996719",,
MK036,مكة,محطة حلي,18.7877941,41.3590202,"18.7877941, 41.3590202",,
JA058,جازان,أبو عريش جازان زيارة ام الغلف,16.9437166,42.8743031,"16.9437166, 42.8743031",,
AS287,عسير,عقبة شعار,18.482235,42.3808346,"18.482235, 42.3808346",,
MK057,مكة,الريان-الجموم,21.687189,39.9409578,"21.687189, 39.9409578",,
TB146,تبوك,القادسية,28.429889,36.502,"28.429889, 36.502",,
JA234,جازان,محطة الرحاب (البشاير),16.8784986,42.6060855,"16.8784986, 42.6060855",محطة البشائر السويس جازان,
JA353,جازان,محطة الحنيني-صامطة,16.585843,42.817172,"16.585843, 42.817172",,
MK317,الطائف,وادي وج,21.2469407,40.3785565,"21.2469407, 40.3785565",,
تحت التوثيق,خميس مشيط,الوادين أحد رفيده ـ عسير,18.079406199999998,42.775329,"18.079406199999998, 42.775329",3QHG+Q43 العقالة,
MK038,الطائف,محطة القديرة,,,,,لا يوجد رابط موقع في الجدول
MK039,رابغ,محطة الجود / رابغ,22.7737598,39.0373154,"22.7737598, 39.0373154",,
MK048,عشيرة,عشيرة,21.7510803,40.6540025,"21.7510803, 40.6540025",TGUA8961 عشيرة,
MK098,الطائف,وادي جليل,21.3878465,40.5205869,"21.3878465, 40.5205869",محطة الخماش للمواد البترولية - الشواحط,
MK143,الطائف,مدينة الورود,21.378806,40.431735,"21.378806, 40.431735",,
RY147,الرياض,حوطة بني تميم,23.508846,46.905824,"23.508846, 46.905824",,
TB148,تبوك,بئر بن هرماس,28.865776,36.22865,"28.865776, 36.22865",,
RY149,الدلم,طريق الحاير,23.761945,46.955846,"23.761945, 46.955846",,
MK150,جدة,حداء-بحره,21.441663,39.540666,"21.441663, 39.540666",,
JA187,جازان,محطة درب الناصرية ( أبو عريش ),16.989283,42.817244,"16.989283, 42.817244",,
AS189,عسير,محطة الخزامى بيشه,20.0104946,42.618366,"20.0104946, 42.618366",محطة وقود بن حمد,
AS193,خميس مشيط,طريق المئة,18.2368927,42.6818576,"18.2368927, 42.6818576",كوفي المزرعه the farm - خميس مشيط,تنبيه: الرابط يشير إلى مكان غير محطة وقود — الإحداثيات لموقع الرابط كما هو
AB254,ابها,محطة الزهور,18.3199113,42.6133077,"18.3199113, 42.6133077",,
RY312,الرياض,محطة الغروب,24.5551148,46.4962545,"24.5551148, 46.4962545",,
MK333,جدة,محطة الرويس ( شارع حائل ),21.5131898,39.1730394,"21.5131898, 39.1730394",6770 حائل - حي الرويس جدة,
MK334,الطائف,صناعية الطائف,,,,,لا يوجد رابط موقع في الجدول
EP336,الدمام,طيبة الدمام,26.3582522,50.0670925,"26.3582522, 50.0670925",,
MK339,جدة,محطة الشاطئ,21.5831673,39.1254104,"21.5831673, 39.1254104",,
AS354,خميس مشيط,محطة الواحة,18.3336548,42.6868992,"18.3336548, 42.6868992",,
RY355,الرياض,محطة العريجاء,24.5779232,46.5786213,"24.5779232, 46.5786213",محطة صبح الخليج - الرياض,تنبيه: المكان معلَّم على خرائط Google كمغلق نهائياً؛ تنبيه: نفس الرابط مستخدم أيضاً للمحطة RY356 — تحقق من صحة الرابط
RY356,الرياض,محطة المونسية,24.5779232,46.5786213,"24.5779232, 46.5786213",محطة صبح الخليج - الرياض,تنبيه: المكان معلَّم على خرائط Google كمغلق نهائياً؛ تنبيه: نفس الرابط مستخدم أيضاً للمحطة RY355 — تحقق من صحة الرابط
JA357,جازان,محطة الريث,17.6407774,42.7544677,"17.6407774, 42.7544677",,
AS359,عسير,المصيف خميس مشيط,,,,,لا يوجد رابط موقع في الجدول
MK314,مكة,قوس النصر-الخالدية,21.402652,39.809365,"21.402652, 39.809365",,
EP329,حفر الباطن ,محطة الورود,28.300298,45.947207,"28.300298, 45.947207",,
JA157,جازان,ديبر,16.928832,43.118334,"16.928832, 43.118334",,
JA152,جازان,أبو سبيلة-العارضة,16.9148786,43.092372,"16.9148786, 43.092372",تموينات بندر خبراني,
JA209,جازان,ضمد-الظبية,17.0507214,42.7200959,"17.0507214, 42.7200959",محطة صديق الطريق - ضمد,
AS328,محايل عسير,خميس البحر,18.00677,41.900188,"18.00677, 41.900188",,
